Date,Day,Time,User,Activity
,,,,
17 Jan 2022,Mon,09:00:41,Amrut,Logging into account
17 Jan 2022,Mon,09:00:46,Amrut,Logout from account
17 Jan 2022,Mon,09:01:07,Sudha,Logging into account
17 Jan 2022,Mon,09:16:05,Amrut,Logging into account
17 Jan 2022,Mon,09:16:42,Amrut,Logging into account
17 Jan 2022,Mon,09:20:51,Amrut,Logout from account
17 Jan 2022,Mon,09:21:36,Ayush,New account created
2 Feb 2022,Wed,10:23:54,Arnav,New account created
2 Feb 2022,Wed,10:24:16,Arnav,Logging into account
2 Feb 2022,Wed,10:24:59,Arnav,Logging into account
2 Feb 2022,Wed,10:26:29,Amrut,Logging into account
2 Feb 2022,Wed,10:26:35,Amrut,Logout from account
